base_symbol,comparison_symbol,relationship_type,relationship_confidence,timeframe,session,comparison_timeframe,comparison_session,timeframe_aligned,session_overlap,correlation_window_bars,recent_correlation,event_time,smt_signal,base_swing_type,base_event_time,base_level,comparison_swing_type,comparison_event_time,comparison_level,event_window_bars,event_time_delta_bars,same_event_window_confirmed,swept_side,normalized_for_inverse_correlation,raw_comparison_swing_type,raw_comparison_level,near_pd_array,pd_array_type,mss_or_cisd_confirmed,displacement_confirmed,regime_bucket,provider_provenance,evidence_source,confidence,fail_closed_reason,confirmation_role,actionable,forward_return,outcome_hit,entry_context_complete,label_fail_closed_reason,branch_path
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-03-20T04:00:00+00:00,bearish_smt,HH,2026-03-20T04:00:00+00:00,70939.7734375,LH,2026-03-20T04:00:00+00:00,2158.4345703125,3,0,True,buy_side_liquidity,False,LH,2158.4345703125,True,session_high_low,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,0.013039144584612285,True,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-03-27T04:00:00+00:00,bullish_smt,LL,2026-03-27T04:00:00+00:00,68269.15625,HL,2026-03-27T04:00:00+00:00,2043.33984375,3,0,True,sell_side_liquidity,False,HL,2043.33984375,True,session_high_low,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,-0.03806438861860453,False,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-03-27T18:00:00+00:00,bullish_smt,LL,2026-03-27T18:00:00+00:00,65539.1875,HL,2026-03-27T18:00:00+00:00,1973.5860595703125,3,0,True,sell_side_liquidity,False,HL,1973.5860595703125,True,session_high_low,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,0.008076669260393786,True,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-03-29T03:00:00+00:00,bearish_smt,HH,2026-03-29T03:00:00+00:00,67000.8125,LH,2026-03-29T03:00:00+00:00,2015.5404052734375,3,0,True,buy_side_liquidity,False,LH,2015.5404052734375,True,session_high_low,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,0.005746390333835689,True,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-01T13:00:00+00:00,bullish_smt,LL,2026-04-01T13:00:00+00:00,67969.1171875,HL,2026-04-01T13:00:00+00:00,2110.518310546875,3,0,True,sell_side_liquidity,False,HL,2110.518310546875,True,FVG,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,-0.012108368002224739,False,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-02T00:00:00+00:00,bearish_smt,HH,2026-04-02T00:00:00+00:00,68633.1484375,LH,2026-04-02T00:00:00+00:00,2158.142822265625,3,0,True,buy_side_liquidity,False,LH,2158.142822265625,True,FVG,True,True,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,0.037298493189442256,True,True,,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-07T02:00:00+00:00,bullish_smt,LL,2026-04-07T02:00:00+00:00,68286.8046875,HL,2026-04-07T02:00:00+00:00,2094.010009765625,3,0,True,sell_side_liquidity,False,HL,2094.010009765625,True,session_high_low,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,-0.010950795202051517,False,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-08T09:00:00+00:00,bearish_smt,HH,2026-04-08T09:00:00+00:00,71932.7578125,LH,2026-04-08T09:00:00+00:00,2261.873779296875,3,0,True,buy_side_liquidity,False,LH,2261.873779296875,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,0.0022376180321713453,True,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement,missing_pda",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-08T14:00:00+00:00,bullish_smt,LL,2026-04-08T14:00:00+00:00,70754.125,HL,2026-04-08T14:00:00+00:00,2189.805419921875,3,0,True,sell_side_liquidity,False,HL,2189.805419921875,True,FVG,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,0.003259946398756767,True,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-10T00:00:00+00:00,bullish_smt,LL,2026-04-10T00:00:00+00:00,71609.296875,HL,2026-04-10T01:00:00+00:00,2179.488037109375,3,1,True,sell_side_liquidity,False,HL,2179.488037109375,True,FVG,False,False,range,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,0.004895694470247854,True,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
