family,provider,symbol,branch_path,main_regime,volatility_bucket,momentum_bucket,trade_count,win_rate,avg_net_return,total_net_return,profit_factor
fvg_retrace_continuation_v1,binance,BTCUSDT,trend_expansion->high_volatility->up_momentum->fvg_retrace_continuation,trend_expansion,high_volatility,up_momentum,725,0.4924137931034483,0.00063639914873793,0.46138938283499925,1.0844859250086107
fvg_retrace_continuation_v1,binance,BTCUSDT,trend_expansion->normal_volatility->down_or_flat_momentum->fvg_retrace_continuation,trend_expansion,normal_volatility,down_or_flat_momentum,1508,0.4409814323607427,-0.0007190735406435467,-1.0843628992904684,0.9168080542982235
fvg_retrace_continuation_v1,binance,BTCUSDT,trend_expansion->normal_volatility->up_momentum->fvg_retrace_continuation,trend_expansion,normal_volatility,up_momentum,1835,0.48664850136239785,7.007006359044217e-05,0.12857856668846138,1.0089082022934615
fvg_retrace_continuation_v1,ibkr,SPY,insufficient_context->unknown_volatility->unknown_momentum->fvg_retrace_continuation,insufficient_context,unknown_volatility,unknown_momentum,20,0.55,-0.0002474071239519586,-0.004948142479039172,0.93558725462252
fvg_retrace_continuation_v1,ibkr,SPY,range_or_de_risk->high_volatility->down_or_flat_momentum->fvg_retrace_continuation,range_or_de_risk,high_volatility,down_or_flat_momentum,136,0.4264705882352941,-0.0016471468924965647,-0.2240119773795328,0.6626175174860156
fvg_retrace_continuation_v1,ibkr,SPY,range_or_de_risk->high_volatility->up_momentum->fvg_retrace_continuation,range_or_de_risk,high_volatility,up_momentum,96,0.53125,-0.001533177686981495,-0.14718505795022352,0.6595853514507217
fvg_retrace_continuation_v1,ibkr,SPY,range_or_de_risk->normal_volatility->down_or_flat_momentum->fvg_retrace_continuation,range_or_de_risk,normal_volatility,down_or_flat_momentum,399,0.48370927318295737,-0.0006101593576777329,-0.2434535837134154,0.8304609265897508
fvg_retrace_continuation_v1,ibkr,SPY,range_or_de_risk->normal_volatility->up_momentum->fvg_retrace_continuation,range_or_de_risk,normal_volatility,up_momentum,446,0.484304932735426,-0.0003404157283802044,-0.15182541485757117,0.8921232435130321
fvg_retrace_continuation_v1,ibkr,SPY,trend_expansion->high_volatility->down_or_flat_momentum->fvg_retrace_continuation,trend_expansion,high_volatility,down_or_flat_momentum,347,0.3804034582132565,-0.002095428629407599,-0.7271137344044368,0.5985647176946928
fvg_retrace_continuation_v1,ibkr,SPY,trend_expansion->high_volatility->up_momentum->fvg_retrace_continuation,trend_expansion,high_volatility,up_momentum,183,0.4207650273224044,-0.002337560751572345,-0.42777361753773907,0.47864307340667356
fvg_retrace_continuation_v1,ibkr,SPY,trend_expansion->normal_volatility->down_or_flat_momentum->fvg_retrace_continuation,trend_expansion,normal_volatility,down_or_flat_momentum,589,0.44142614601018676,-0.0009374038561730395,-0.5521308712859203,0.7695813315306917
fvg_retrace_continuation_v1,ibkr,SPY,trend_expansion->normal_volatility->up_momentum->fvg_retrace_continuation,trend_expansion,normal_volatility,up_momentum,1139,0.4793678665496049,-0.00032597770799250406,-0.37128860940346214,0.8936572224331376
