market,timeframe,variant_id,bars,trades,mean_profit_ratio,win_rate,net_return_R
IWM/USD,1h,sideways_breakout_failure,1286,1,-0.011626870782556064,0.0,-0.011626870782556064
IWM/USD,1h,sideways_compression_carry,1286,16,-0.003408677365979604,0.5,-0.054538837855673664
IWM/USD,1h,crisis_tail_short,1286,0,0.0,0.0,0.0
IWM/USD,1h,crisis_defensive_long,1286,0,0.0,0.0,0.0
IWM/USD,1h,crisis_panic_reversal,1286,0,0.0,0.0,0.0
DIA/USD,1h,bull_risk_on_momentum_fast,1286,82,0.000276987063817142,0.5365853658536586,0.022712939233005644
DIA/USD,1h,bull_risk_on_pullback,1286,19,0.0011338566629064048,0.47368421052631576,0.02154327659522169
DIA/USD,1h,bull_crypto_carry,1286,0,0.0,0.0,0.0
DIA/USD,1h,bear_risk_off_short,1286,0,0.0,0.0,0.0
DIA/USD,1h,bear_failed_rally_short,1286,0,0.0,0.0,0.0
DIA/USD,1h,bear_defensive_long,1286,0,0.0,0.0,0.0
DIA/USD,1h,sideways_range_reversion,1286,16,0.004342688808223974,0.6875,0.06948302093158358
DIA/USD,1h,sideways_breakout_failure,1286,1,-0.0041244358165493985,0.0,-0.0041244358165493985
DIA/USD,1h,sideways_compression_carry,1286,19,-0.004368334339140867,0.3684210526315789,-0.08299835244367647
DIA/USD,1h,crisis_tail_short,1286,0,0.0,0.0,0.0
DIA/USD,1h,crisis_defensive_long,1286,0,0.0,0.0,0.0
DIA/USD,1h,crisis_panic_reversal,1286,0,0.0,0.0,0.0
GLD/USD,1h,bull_risk_on_momentum_fast,1284,0,0.0,0.0,0.0
GLD/USD,1h,bull_risk_on_pullback,1284,0,0.0,0.0,0.0
GLD/USD,1h,bull_crypto_carry,1284,0,0.0,0.0,0.0
GLD/USD,1h,bear_risk_off_short,1284,0,0.0,0.0,0.0
GLD/USD,1h,bear_failed_rally_short,1284,0,0.0,0.0,0.0
GLD/USD,1h,bear_defensive_long,1284,0,0.0,0.0,0.0
GLD/USD,1h,sideways_range_reversion,1284,11,-0.0002218559867418249,0.45454545454545453,-0.002440415854160074
GLD/USD,1h,sideways_breakout_failure,1284,1,0.004632146667960102,1.0,0.004632146667960102
GLD/USD,1h,sideways_compression_carry,1284,0,0.0,0.0,0.0
GLD/USD,1h,crisis_tail_short,1284,0,0.0,0.0,0.0
GLD/USD,1h,crisis_defensive_long,1284,0,0.0,0.0,0.0
GLD/USD,1h,crisis_panic_reversal,1284,0,0.0,0.0,0.0
GLD/USD,4h,bull_risk_on_momentum_fast,429,0,0.0,0.0,0.0
GLD/USD,4h,bull_risk_on_pullback,429,0,0.0,0.0,0.0
GLD/USD,4h,bull_crypto_carry,429,0,0.0,0.0,0.0
GLD/USD,4h,bear_risk_off_short,429,0,0.0,0.0,0.0
GLD/USD,4h,bear_failed_rally_short,429,0,0.0,0.0,0.0
GLD/USD,4h,bear_defensive_long,429,0,0.0,0.0,0.0
GLD/USD,4h,sideways_range_reversion,429,2,-0.005295903718400252,0.0,-0.010591807436800504
